Name,Group,PCI,GDP per capita,Log GDP per capita
Azerbaijan,LLDCs (other than LDCs),45.2751,5296.443,3.723984303
Armenia,LLDCs (other than LDCs),48.2054,4966.517,3.696051926
Bolivia (Plurinational State of),LLDCs (other than LDCs),44.0301,3345.197,3.524421699
Botswana,LLDCs (other than LDCs),44.8014,6805.248,3.832843957
Kazakhstan,LLDCs (other than LDCs),51.3383,10054.89,4.002377324
Kyrgyzstan,LLDCs (other than LDCs),37.0329,1339.005,3.126782199
Mongolia,LLDCs (other than LDCs),47.8769,4509.858,3.654162868
"Moldova, Republic of",LLDCs (other than LDCs),51.1446,4468.421,3.650154084
Paraguay,LLDCs (other than LDCs),42.9202,6035.143,3.780687565
Zimbabwe,LLDCs (other than LDCs),29.5673,1507.995,3.178399902
Eswatini,LLDCs (other than LDCs),37.5956,3968.906,3.598670813
Tajikistan,LLDCs (other than LDCs),35.081,897.051,2.952817135
Turkmenistan,LLDCs (other than LDCs),43.2984,8507.668,3.929810534
North Macedonia,LLDCs (other than LDCs),46.551,6599.619,3.819518864
Uzbekistan,LLDCs (other than LDCs),42.0389,2031.572,3.307832219
Algeria,Other developing economies,43.6489,3700.324,3.568239753
Argentina,Other developing economies,48.0133,10761.082,4.031855941
Bahamas,Other developing economies,47.5679,27478.39,4.438991283
Bahrain,Other developing economies,60.7132,26562.974,4.424276697
Barbados,Other developing economies,55.7239,17225.462,4.236170879
Brazil,Other developing economies,48.7116,7507.16,3.875475672
Belize,Other developing economies,49.3308,6228.701,3.794397484
Brunei Darussalam,Other developing economies,53.459,31448.914,4.497605653
Cameroon,Other developing economies,27.169,1668.012,3.222199171
Cabo Verde,Other developing economies,50.0218,3293.233,3.517622459
Cayman Islands,Other developing economies,49.0897,85250.265,4.930695738
Sri Lanka,Other developing economies,43.0884,3918.019,3.593066538
Chile,Other developing economies,58.3411,16265.096,4.211256631
China,Other developing economies,60.2659,12437.206,4.094722828
Colombia,Other developing economies,48.247,6104.137,3.785624272
Congo,Other developing economies,28.435,2200.318,3.342485452
Costa Rica,Other developing economies,51.1136,12472.443,4.095951528
Cuba,Other developing economies,42.06,11255.279,4.051356265
Dominica,Other developing economies,52.5821,7570.784,3.879140856
Dominican Republic,Other developing economies,41.6044,8476.75,3.928229375
Ecuador,Other developing economies,44.5153,5965.133,3.775620131
El Salvador,Other developing economies,47.6065,4551.185,3.658124489
Equatorial Guinea,Other developing economies,30.8172,7605.453,3.881125087
Fiji,Other developing economies,47.2246,4646.538,3.667129493
Gabon,Other developing economies,33.9538,7910.846,3.89822293
Georgia,Other developing economies,47.6912,4975.125,3.696803997
State of Palestine,Other developing economies,49.7167,3513.622,3.545755038
Ghana,Other developing economies,37.5741,2408.635,3.381770993
Grenada,Other developing economies,48.9726,8950.229,3.951834147
Guatemala,Other developing economies,34.3459,4883.208,3.688705223
Guyana,Other developing economies,41.3944,9998.545,3.999936806
Honduras,Other developing economies,37.87,2771.723,3.442749826
"China, Hong Kong SAR",Other developing economies,63.7912,49258.814,4.692483951
India,Other developing economies,45.1198,2274.477,3.35688155
Indonesia,Other developing economies,46.3607,4332.709,3.636759521
Iran (Islamic Republic of),Other developing economies,43.8332,6766.021,3.830333341
Iraq,Other developing economies,32.489,4686.13,3.670814332
Côte d'Ivoire,Other developing economies,37.4065,2538.911,3.404647477
Jamaica,Other developing economies,44.1181,5183.58,3.714629806
Jordan,Other developing economies,45.7838,4058.354,3.608349927
Kenya,Other developing economies,37.625,2081.799,3.318438796
Kuwait,Other developing economies,54.3894,32150.179,4.507183395
Lebanon,Other developing economies,42.0388,6784.799,3.831536986
Libya,Other developing economies,37.7881,5791.255,3.762772688
"China, Macao SAR",Other developing economies,55.8507,43554.86,4.639036622
Malaysia,Other developing economies,54.5897,11100.944,4.045359912
Maldives,Other developing economies,49.2615,10366.294,4.015623522
Mauritius,Other developing economies,52.0191,8872.959,3.948068475
Mexico,Other developing economies,49.8074,10045.676,4.001979167
Morocco,Other developing economies,46.7036,3853.283,3.585830906
Oman,Other developing economies,55.8131,19509.466,4.290245382
Namibia,Other developing economies,41.2922,4836.174,3.684501918
Curaçao,Other developing economies,55.7997,14183.255,4.151775911
Aruba,Other developing economies,55.7411,29342.101,4.467491208
Vanuatu,Other developing economies,44.5693,3072.572,3.487502069
Nicaragua,Other developing economies,41.1742,2045.534,3.310806703
Nigeria,Other developing economies,31.926,2019.308,3.305202566
Marshall Islands,Other developing economies,47.6709,6111.272,3.786131614
Palau,Other developing economies,49.492,12084.128,4.082215317
Pakistan,Other developing economies,33.6675,1480.111,3.170294286
Panama,Other developing economies,52.7913,14617.597,4.164875984
Papua New Guinea,Other developing economies,33.3269,2672.967,3.426993597
Peru,Other developing economies,47.5465,6621.653,3.820966418
Philippines,Other developing economies,43.509,3460.531,3.539142744
Qatar,Other developing economies,63.5744,66798.767,4.824768446
Saint Lucia,Other developing economies,49.1966,9824.062,3.992291095
Saint Vincent and the Grenadines,Other developing economies,51.2836,8440.025,3.926343733
Saudi Arabia,Other developing economies,56.5487,23185.871,4.365223415
Seychelles,Other developing economies,50.5132,12084.628,4.082233286
Singapore,Other developing economies,54.0154,66821.716,4.824917624
Viet Nam,Other developing economies,50.3777,3756.489,3.574782121
South Africa,Other developing economies,52.3099,7055.055,3.848500404
Suriname,Other developing economies,45.8462,5259.263,3.720924889
Syrian Arab Republic,Other developing economies,31.0008,924.712,2.966006494
Thailand,Other developing economies,53.9541,7066.675,3.849215118
Tonga,Other developing economies,55.6641,4450.531,3.64841183
Trinidad and Tobago,Other developing economies,51.5888,16032.503,4.20500133
United Arab Emirates,Other developing economies,62.9162,43295.393,4.636441686
Tunisia,Other developing economies,47.4882,3807.185,3.580603981
Türkiye,Other developing economies,53.9045,9661.228,3.985032331
Egypt,Other developing economies,44.1204,3898.02,3.590844063
Uruguay,Other developing economies,54.7757,17312.642,4.238363349
Venezuela (Bolivarian Rep. of),Other developing economies,33.154,3965.034,3.598246916
Samoa,Other developing economies,45.28,3918.658,3.593137362
